No,Type,Title,Authors,Volume,DOI,Paper_Link
797,Method,RIDGECUT: Learning Graph Partitioning with Rings and Wedges,"Qize Jiang, Angelo Zangari, Linsey Pang, Alice Gatti, Mahima Aggarwal, Giovanna Vantini, Xiaosong Ma, Weiwei Sun, Sourav Medya, Sanjay Chawla",10.1145/3770855,10.1145/3770855.3818103,https://doi.org/10.1145/3770855.3818103
798,Method,Learning to Evaluate: Cost-Effective Model Evaluation on Unlabeled Data with Meta-Learning,"Trinh Pham, Viet Huynh, Hongzhi Yin, Quoc Viet Hung Nguyen, Thanh Tam Nguyen",10.1145/3770855,10.1145/3770855.3818104,https://doi.org/10.1145/3770855.3818104
799,Method,Spectral Gap-Driven Coarsening for Dynamic Graph Neural Networks,"Hieu Vu, Rares-Mihail Neagu, Bijaya Adhikari",10.1145/3770855,10.1145/3770855.3818105,https://doi.org/10.1145/3770855.3818105
800,Method,Scalable Uncertainty Quantification for Extreme Weather Forecasting via Empirical Neural Tangent Kernels,"Jose Marie Antonio Miñoza, Rex Gregor Laylo, Sebastian C. Ibañez",10.1145/3770855,10.1145/3770855.3818106,https://doi.org/10.1145/3770855.3818106
801,Method,BiVCoder: A Multi-Agent Framework for Code Generation via Bidirectional Code-Test Diagnosis,"Xiaoyang Li, Jinhao Dong, Wenhang Shi, Wei Lu, Xiaoyong Du",10.1145/3770855,10.1145/3770855.3818107,https://doi.org/10.1145/3770855.3818107
802,Method,Bridging Classification and Reconstruction: Cooperative Time Series Anomaly Detection,"Qideng Tang, Chaofan Dai, Wubin Ma, Yahui Wu, Haohao Zhou, Tao Zhang, Huan Li, Dalin Zhang",10.1145/3770855,10.1145/3770855.3818108,https://doi.org/10.1145/3770855.3818108
803,Method,A Geometric Information Bottleneck for Activation Steering,"Toan Doan, Thin Nguyen, Sunil Gupta",10.1145/3770855,10.1145/3770855.3818109,https://doi.org/10.1145/3770855.3818109
804,Method,SGS-GNN: A Supervised Graph Sparsifier for Graph Neural Networks,"Siddhartha Shankar Das, Naheed Anjum Arafat, Muftiqur Rahman, S M Ferdous, Alex Pothen, Mahantesh Halappanavar, Danda B. Rawat",10.1145/3770855,10.1145/3770855.3818110,https://doi.org/10.1145/3770855.3818110
805,Method,Distribution-Aware End-to-End Embedding for Streaming Numerical Features in Click-Through Rate Prediction,"Jiahao Liu, Hongji Ruan, Weimin Zhang, Ziye Tong, Derick Tang, Zhanpeng Zeng, Qinsong Zeng, Peng Zhang, Tun Lu, Ning Gu",10.1145/3770855,10.1145/3770855.3818111,https://doi.org/10.1145/3770855.3818111
806,Method,A Practical Upper Bound on Selection Bias Effects in Medical Prediction Models,"Kara Liu, Maggie Wang, Russ B. Altman",10.1145/3770855,10.1145/3770855.3818112,https://doi.org/10.1145/3770855.3818112
807,Method,Training-free Truthfulness Detection via Sparse MLP Value Vectors,"Runheng Liu, Heyan Huang, Xingchen Xiao, Yanghao Zhou, Zhijing Wu",10.1145/3770855,10.1145/3770855.3818113,https://doi.org/10.1145/3770855.3818113
808,Method,Divide and Conquer: Region Self-Paced Physics-Informed Neural Networks,"Ruixuan Meng, Wenyuan Wu, Zhenwen Ren, Dezhong Peng, Yuan Sun, Xiaogang Deng",10.1145/3770855,10.1145/3770855.3818114,https://doi.org/10.1145/3770855.3818114
809,Method,ZeroRel: Relational Reasoning via Graph-guided Large Language Models,"Yujie Tian, Kun Zhang, Qiuyu Li, Le Wu, Richang Hong",10.1145/3770855,10.1145/3770855.3818115,https://doi.org/10.1145/3770855.3818115
810,Method,Invariant-Stratified Propagation for Expressive Graph Neural Networks,"Asela Hevapathige, Ahad N. Zehmakan, Asiri Wijesinghe, Saman Halgamuge",10.1145/3770855,10.1145/3770855.3818116,https://doi.org/10.1145/3770855.3818116
811,Method,FAT-TAG: Mitigating Forgetting in Task-Free Temporal Graph Class Incremental Learning,"Jiyuan Feng, Zhao Liu, Dongyi Zheng, Weihong Han, Binxing Fang, Qing Liao",10.1145/3770855,10.1145/3770855.3818117,https://doi.org/10.1145/3770855.3818117
812,Method,When Hard Negatives Hurt: Bridging the Generative Discriminative Gap in Hard Negative Synthesis for Retrieval,"Zhicheng Zhang, Jiwei Tang, Kuicai Dong, Xiaopeng Li, Jieming Zhu, Jingyu Li, Qianhui Zhu, Fengyuan Lu, Wang Jiaheng, Gang Wang, Hai-Tao Zheng, Zhaocheng Du",10.1145/3770855,10.1145/3770855.3818118,https://doi.org/10.1145/3770855.3818118
813,Method,AlphaMaster: Dual-Chain Feedback for Scalable and Diverse Alpha Factor Discovery,"Haozengran Wang, Shuo Yin, Rong Fu, Mengting Zhang, Jiayi Zeng, Simon James Fong",10.1145/3770855,10.1145/3770855.3818120,https://doi.org/10.1145/3770855.3818120
814,Method,VisionDES: Robust and Explainable Dynamic Vision Ensemble,"Firuz Juraev, Mohammed Abuhamad, Shaker El-Sappagh, Simon S. Woo, Tamer Abuhmed",10.1145/3770855,10.1145/3770855.3818121,https://doi.org/10.1145/3770855.3818121
815,Method,Reasoning over Semantic IDs Enhances Generative Recommendation,"Yingzhi He, Yan Sun, Junfei Tan, Yuxin Chen, Xiaoyu Kong, Chunxu Shen, Xiang Wang, An Zhang, Tat-Seng Chua",10.1145/3770855,10.1145/3770855.3818122,https://doi.org/10.1145/3770855.3818122
816,Method,Submodular Maximization under Supermodular Constraint: Greedy Guarantees,"Ajitesh Srivastava, Shanghua Teng",10.1145/3770855,10.1145/3770855.3818123,https://doi.org/10.1145/3770855.3818123
817,Method,FedTT: A Federated Spatio-Temporal Learning Framework for Cross-City Traffic Knowledge Transfer,"Zhihao Zeng, Ziquan Fang, Yuting Huang, Yujie Fang, Lu Chen",10.1145/3770855,10.1145/3770855.3818124,https://doi.org/10.1145/3770855.3818124
