key,title,authors,venue,year,preprint,decision,reason
gao2023ragsurvey,Retrieval-Augmented Generation for Large Language Models: A Survey,"Gao, Yunfan and Xiong, Yun and Gao, Xinyu and Jia, Kangxiang and Pan, Jinliu and Bi, Yuxi and Dai, Yixin and Sun, Jiawei and Wang, Haofen",arXiv preprint arXiv:2312.10997,2023,yes,included,
lewis2020rag,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,"Lewis, Patrick and Perez, Ethan and Piktus, Aleksandra and Petroni, Fabio and Karpukhin, Vladimir and Goyal, Naman and others",Adv. Neural Inf. Process. Syst. (NeurIPS),2020,no,included,
karpukhin2020dpr,Dense Passage Retrieval for Open-Domain Question Answering,"Karpukhin, Vladimir and O\uguz, Barlas and Min, Sewon and Lewis, Patrick and Wu, Ledell and Edunov, Sergey and others",Proc. Conf. Empirical Methods Natural Language Process. (EMNLP),2020,no,included,
khattab2020colbert,ColBERT: Efficient and Effective Passage Search via Contextualized Late Interaction over BERT,"Khattab, Omar and Zaharia, Matei",Proc. Int. ACM SIGIR Conf. Res. Develop. Inf. Retrieval,2020,no,included,
santhanam2021colbertv2,ColBERTv2: Effective and Efficient Retrieval via Lightweight Late Interaction,"Santhanam, Keshav and Khattab, Omar and Saad-Falcon, Jon and Potts, Christopher and Zaharia, Matei",arXiv preprint arXiv:2112.01488,2021,yes,included,
robertson2009bm25,The Probabilistic Relevance Framework: BM25 and Beyond,"Robertson, Stephen and Zaragoza, Hugo",Foundations and Trends in Information Retrieval,2009,no,included,
johnson2019faiss,Billion-Scale Similarity Search with GPUs,"Johnson, Jeff and Douze, Matthijs and J\'egou, Herv\'e",IEEE Trans. Big Data,2019,no,included,
liu2024lostinthemiddle,Lost in the Middle: How Language Models Use Long Contexts,"Liu, Nelson F. and Lin, Kevin and Hewitt, John and Paranjape, Ashwin and Bevilacqua, Michele and Petroni, Fabio and Liang, Percy",Trans. Assoc. Comput. Linguistics,2024,no,included,
jarvelin2002ndcg,Cumulated Gain-Based Evaluation of IR Techniques,"J\""arvelin, Kalervo and Kek\""al\""ainen, Jaana",ACM Trans. Inf. Syst.,2002,no,included,
biten2019stvqa,Scene Text Visual Question Answering,"Biten, Ali Furkan and Tito, Rub\`en and Mafla, Andr\'es and Gomez, Llu\'is and Rusi\~nol, Mar\ccal and Valveny, Ernest and others",Proc. IEEE/CVF Int. Conf. Comput. Vis. (ICCV),2019,no,included,
lee2023pix2struct,Pix2Struct: Screenshot Parsing as Pretraining for Visual Language Understanding,"Lee, Kenton and Joshi, Mandar and Turc, Iulia and Hu, Hexiang and Liu, Fangyu and Eisenschlos, Julian and others",Proc. Int. Conf. Mach. Learn. (ICML),2023,no,included,
wong1982documentanalysis,Document Analysis System,"Wong, K. Y. and Casey, R. G. and Wahl, F. M.",IBM Journal of Research and Development,1982,no,included,
nagy1984xytree,Hierarchical Representation of Optically Scanned Documents,"Nagy, George and Seth, Sharad C.",Proc. Int. Conf. Pattern Recognition,1984,no,included,
ogorman1993docstrum,The Document Spectrum for Page Layout Analysis,"O'Gorman, Lawrence",IEEE Trans. Pattern Anal. Mach. Intell.,1993,no,included,
baird1994backgroundstructure,Background Structure in Document Images,"Baird, Henry S.",Int. J. Pattern Recognit. Artif. Intell.,1994,no,included,
kise1998voronoi,Segmentation of Page Images Using the Area Voronoi Diagram,"Kise, Koichi and Sato, Akinori and Iwata, Motoi",Computer Vision and Image Understanding,1998,no,included,
breuel2002geometric,Two Geometric Algorithms for Layout Analysis,"Breuel, Thomas M.",Proc. Int. Workshop Document Analysis Systems (DAS),2002,no,included,
shafait2006sixalgorithms,Performance Comparison of Six Algorithms for Page Segmentation,"Shafait, Faisal and Keysers, Daniel and Breuel, Thomas M.",Proc. Int. Workshop Document Analysis Systems (DAS),2006,no,included,
